GRIA2	Gria2
Slit2	SLIT2
SLIT2	Slit2
Mkrn2	MKRN2
MKRN2	Mkrn2
Spns1	SPNS1
SPNS1	Spns1
Tnnt2	TNNT2
TNNT2	Tnnt2
Phc2	PHC2
PHC2	Phc2
Krt7	KRT7
KRT7	Krt7
Krt1	KRT1
KRT1	Krt1
Krt90	KRT90P
KRT90P	Krt90
Krt6b	KRT6A,KRT6B
KRT6A	Krt6b,Krt6a,Gm5414
KRT6B	Krt6b,Krt6a,Gm5414
Krt75	KRT75
KRT75	Krt75
Krt79	KRT79
KRT79	Krt79
Krt2	KRT2
KRT2	Krt2
Krt4	KRT4
KRT4	Krt4
Krt8	KRT8
KRT8	Krt8
Krt6a	KRT6A,KRT6B
Rbp2	RBP2
RBP2	Rbp2
Il17rd	IL17RD
IL17RD	Il17rd
Glra3	GLRA3
GLRA3	Glra3
Glra4	GLRA4
GLRA4	Glra4
Sec61a1	SEC61A1
SEC61A1	Sec61a1
Lmnb1	LMNB1
LMNB1	Lmnb1
Lmna	LMNA
LMNA	Lmna
Naca	NACA
NACA	Naca
Srrt	SRRT
SRRT	Srrt
Atp6v1e2	ATP6V1E2
ATP6V1E2	Atp6v1e2
Atp6v1e1	ATP6V1E1
ATP6V1E1	Atp6v1e1
Cct3	CCT3
CCT3	Cct3
Cct7	CCT7
CCT7	Cct7
Ddx19b	DDX19B
DDX19B	Ddx19b
Ddx19a	DDX19A
DDX19A	Ddx19a
Hdac1	HDAC1
HDAC1	Hdac1
Mcm3	MCM3
MCM3	Mcm3
Rpl24	RPL24
RPL24	Rpl24
Rps5	RPS5
RPS5	Rps5
Sf3b4	SF3B4
SF3B4	Sf3b4
Stil	STIL
STIL	Stil
Aurkc	AURKC
AURKC	Aurkc,Aurkc-ps
Aurkb	AURKB
AURKB	Aurkb
Aurkc-ps	AURKC
Terf2	TERF2
TERF2	Terf2
U2af1	U2AF1
U2AF1	U2af1
Vps18	VPS18
VPS18	Vps18
Csnk1a1	CSNK1A1,CSNK1A1L
CSNK1A1	Csnk1a1
CSNK1A1L	Csnk1a1
Flot1	FLOT1
FLOT1	Flot1
Insr	INSR
INSR	Insr
Ptk2b	PTK2B
PTK2B	Ptk2b
Invs	INVS
INVS	Invs
Nek8	NEK8
NEK8	Nek8
Cygb	CYGB
CYGB	Cygb
Id3	ID3
ID3	Id3
Unc45b	UNC45B
UNC45B	Unc45b
Lyz2	LYZ
LYZ	Lyz2,Lyz1,9530003J23Rik
Spaca5	SPACA5,SPACA5B
SPACA5	Spaca5
SPACA5B	Spaca5
Lyz1	LYZ
Spaca3	SPACA3
SPACA3	Spaca3
Lyzl1	LYZL1,LYZL2
LYZL1	Lyzl1
LYZL2	Lyzl1
Lyzl6	LYZL6
LYZL6	Lyzl6
Lyzl4	LYZL4
LYZL4	Lyzl4
